"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"517","Hillary Clinton",4415,0.597,108101,49.8,51,1.3,44.9,0.7,0.1,2,11.1,42.2
"520","Donald Trump",36804,0.436,1004516,50.8,85.5,4.1,4.3,3.1,0.2,2.8,36.1,53.3
"522","Hillary Clinton",56317,0.573,1004516,50.8,85.5,4.1,4.3,3.1,0.2,2.8,36.1,53.3
"527","Hillary Clinton",9771,0.621,401918,47.8,83.2,4.9,6.8,1.9,0.4,2.8,29.2,57.9
"529","Donald Trump",12182,0.575,401918,47.8,83.2,4.9,6.8,1.9,0.4,2.8,29.2,57.9
"530","Hillary Clinton",2496,0.658,46695,52,96.2,0.9,1.3,0.7,0.1,0.8,82.8,15.6
"532","Donald Trump",762,0.452,46695,52,96.2,0.9,1.3,0.7,0.1,0.8,82.8,15.6
"535","Hillary Clinton",8401,0.529,218844,51.1,93.6,0.9,2.1,1,0.1,2.2,14.2,80.9
"538","Donald Trump",17005,0.476,218844,51.1,93.6,0.9,2.1,1,0.1,2.2,14.2,80.9
"541","Hillary Clinton",4358,0.637,203247,48.8,91.3,2.7,2.2,1.5,0.3,2,61.7,32.9
"542","Donald Trump",4390,0.495,203247,48.8,91.3,2.7,2.2,1.5,0.3,2,61.7,32.9
"547","Hillary Clinton",724,0.833,18594,51.6,72.6,24.5,0.4,1,0,1.5,3,70.2
"550","Donald Trump",1073,0.385,18594,51.6,72.6,24.5,0.4,1,0,1.5,3,70.2
"552","Hillary Clinton",1375,0.474,20948,51.8,71.9,25.6,0.8,0.3,0.1,1.4,5.2,67.7
"554","Donald Trump",586,0.404,20948,51.8,71.9,25.6,0.8,0.3,0.1,1.4,5.2,67.7
"561","Hillary Clinton",1391,0.624,40857,51.8,96.8,0.4,0.7,0.6,0,1.5,2,95.2
"562","Donald Trump",3798,0.438,40857,51.8,96.8,0.4,0.7,0.6,0,1.5,2,95.2
"571","Hillary Clinton",5650,0.541,242321,50.5,90,1.9,1.9,3.4,0.4,2.3,16.2,74.9
"572","Donald Trump",11828,0.279,242321,50.5,90,1.9,1.9,3.4,0.4,2.3,16.2,74.9
